                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2268,                 1.3447,                 1.3935,                0.08976,                0.10379,                0.01782,                0.00731,                 3.6162,                 29.775,                 6.1482,               0.067752,             0.00065812,             0.00065812
                      2,                 1.1386,                0.93997,                 1.3578,                0.13628,                0.16434,                 0.0655,                0.03232,                 2.4128,                 10.443,                 2.9609,               0.035072,              0.0013115,              0.0013115
                      3,                 1.0575,                0.82606,                 1.3048,                0.27961,                0.27745,                0.17815,                0.10862,                 1.8482,                 19.738,                 2.0927,               0.002379,              0.0019516,              0.0019516
                      4,                  1.069,                0.79178,                 1.3077,                 0.6369,                0.52162,                0.56969,                0.43154,                 1.1449,                 5.0977,                 1.4991,                0.00194,                0.00194,                0.00194
                      5,                 1.0143,                0.75759,                 1.2729,                0.83123,                0.72522,                0.81731,                0.61717,                0.99919,                 2.0935,                 1.3263,                0.00194,                0.00194,                0.00194
                      6,                0.98285,                0.70811,                 1.2475,                0.70482,                0.70218,                0.72376,                0.55034,                0.94804,                 2.4205,                 1.3168,                0.00192,                0.00192,                0.00192
                      7,                0.95654,                 0.6802,                 1.2357,                0.87825,                0.78909,                0.86988,                0.67923,                0.84628,                0.97931,                 1.2456,              0.0019001,              0.0019001,              0.0019001
                      8,                 0.9294,                 0.6345,                 1.2107,                0.80791,                0.72389,                0.79473,                0.59677,                  1.002,                 1.2066,                 1.3139,              0.0018801,              0.0018801,              0.0018801
                      9,                 0.9031,                0.60437,                 1.1912,                0.83834,                 0.7556,                0.84471,                0.67735,                0.80244,                 3.7088,                 1.2432,              0.0018601,              0.0018601,              0.0018601
                     10,                0.87512,                0.58239,                 1.1866,                0.88062,                0.81474,                0.90038,                  0.712,                0.86859,                0.82082,                 1.2351,              0.0018401,              0.0018401,              0.0018401
                     11,                 0.8829,                0.57334,                 1.1742,                0.83064,                0.80639,                0.89697,                0.74664,                0.71905,                 1.4112,                 1.1468,              0.0018201,              0.0018201,              0.0018201
                     12,                0.84885,                 0.5396,                 1.1644,                0.87758,                0.84897,                0.90377,                0.71971,                0.81197,                0.79418,                  1.223,              0.0018001,              0.0018001,              0.0018001
                     13,                0.85009,                0.53442,                 1.1709,                0.91698,                0.82302,                0.90275,                0.71461,                0.84413,                0.74469,                 1.2201,              0.0017801,              0.0017801,              0.0017801
                     14,                0.83991,                0.52436,                 1.1578,                0.85373,                0.84032,                0.90091,                0.74946,                0.71455,                0.76034,                 1.1532,              0.0017601,              0.0017601,              0.0017601
                     15,                0.80891,                0.50072,                 1.1394,                 0.9337,                0.81038,                0.86921,                 0.6837,                0.91318,                 1.4201,                 1.2738,              0.0017401,              0.0017401,              0.0017401
                     16,                 0.8036,                0.49802,                 1.1337,                0.91113,                 0.8117,                0.89578,                0.71627,                0.85718,                0.74811,                 1.2197,              0.0017201,              0.0017201,              0.0017201
                     17,                 0.7854,                0.47897,                 1.1201,                0.92259,                0.81371,                0.89222,                0.73144,                0.77534,                0.78179,                 1.1734,              0.0017002,              0.0017002,              0.0017002
                     18,                0.77609,                0.47139,                 1.1214,                0.92544,                0.85695,                0.91753,                0.73224,                0.83491,                0.73256,                 1.2313,              0.0016802,              0.0016802,              0.0016802
                     19,                0.78255,                0.48158,                 1.1223,                 0.9368,                0.88759,                0.94625,                0.78301,                0.71405,                0.56072,                 1.1381,              0.0016602,              0.0016602,              0.0016602
                     20,                 0.7606,                0.45915,                 1.1056,                0.92214,                0.84313,                0.91203,                 0.7303,                0.84705,                0.70898,                 1.2222,              0.0016402,              0.0016402,              0.0016402
                     21,                0.73362,                0.45025,                  1.096,                0.90273,                0.88921,                 0.9477,                0.78418,                0.71913,                0.62979,                 1.1277,              0.0016202,              0.0016202,              0.0016202
                     22,                0.73661,                0.44258,                 1.0997,                0.91226,                0.87859,                0.92642,                0.77646,                0.73462,                0.64508,                 1.1423,              0.0016002,              0.0016002,              0.0016002
                     23,                0.72946,                0.43788,                 1.0934,                0.89996,                0.85594,                0.90741,                0.75283,                0.73111,                0.68746,                 1.1517,              0.0015802,              0.0015802,              0.0015802
                     24,                0.72147,                0.43781,                 1.0833,                0.92497,                0.85096,                0.90448,                0.73835,                0.80381,                 0.6746,                 1.2094,              0.0015602,              0.0015602,              0.0015602
                     25,                0.71879,                0.42759,                 1.0887,                0.90712,                0.89355,                0.94557,                0.79404,                0.70862,                0.53555,                 1.1389,              0.0015402,              0.0015402,              0.0015402
                     26,                0.71365,                0.43243,                 1.0842,                0.94547,                0.84298,                  0.898,                0.75816,                0.71677,                0.70945,                 1.1399,              0.0015202,              0.0015202,              0.0015202
                     27,                0.70407,                0.42185,                 1.0756,                0.90021,                0.89432,                0.94318,                0.78799,                0.67793,                0.66542,                 1.1098,              0.0015002,              0.0015002,              0.0015002
                     28,                 0.6788,                  0.401,                 1.0595,                0.89318,                0.84002,                0.90897,                0.76143,                0.73822,                0.75668,                 1.1687,              0.0014803,              0.0014803,              0.0014803
                     29,                0.67758,                0.40328,                 1.0592,                0.88853,                 0.8379,                  0.902,                0.73365,                0.77258,                 0.7193,                 1.1622,              0.0014603,              0.0014603,              0.0014603
                     30,                0.66529,                0.40204,                 1.0472,                0.93157,                0.86427,                0.93306,                0.77956,                0.71641,                 0.5816,                 1.1227,              0.0014403,              0.0014403,              0.0014403
                     31,                0.67389,                0.39618,                 1.0525,                 0.9305,                0.89976,                0.93587,                0.80273,                0.65264,                0.54034,                 1.0913,              0.0014203,              0.0014203,              0.0014203
                     32,                0.66808,                0.39555,                 1.0547,                 0.9351,                0.90119,                0.95027,                0.79913,                 0.7112,                0.51223,                 1.1335,              0.0014003,              0.0014003,              0.0014003
                     33,                0.64462,                0.38168,                 1.0387,                0.93498,                0.88974,                0.93808,                0.80186,                0.65359,                0.52727,                 1.0895,              0.0013803,              0.0013803,              0.0013803
                     34,                0.62746,                0.37359,                 1.0323,                 0.9311,                0.90353,                0.95109,                 0.8097,                0.67094,                0.49115,                 1.1166,              0.0013603,              0.0013603,              0.0013603
                     35,                0.63209,                0.37341,                 1.0262,                0.94342,                0.86539,                0.93452,                0.79296,                0.69162,                 0.5687,                 1.1022,              0.0013403,              0.0013403,              0.0013403
                     36,                0.62165,                0.36722,                 1.0304,                0.93899,                0.86012,                0.92558,                0.78281,                0.68105,                0.59184,                 1.1251,              0.0013203,              0.0013203,              0.0013203
                     37,                 0.6179,                0.37312,                 1.0252,                0.92013,                0.92349,                0.95008,                0.81297,                0.63767,                0.48875,                 1.0922,              0.0013004,              0.0013004,              0.0013004
                     38,                 0.6229,                0.37136,                 1.0311,                0.93975,                0.87169,                0.93845,                0.79475,                0.69225,                0.54216,                 1.1238,              0.0012804,              0.0012804,              0.0012804
                     39,                0.60779,                0.35945,                 1.0172,                0.92963,                0.89953,                0.94523,                0.80904,                0.64827,                0.50587,                 1.0992,              0.0012604,              0.0012604,              0.0012604
                     40,                0.60082,                0.35249,                 1.0153,                0.92722,                0.89887,                0.94655,                 0.8082,                0.64672,                0.50154,                 1.0944,              0.0012404,              0.0012404,              0.0012404
                     41,                0.59558,                0.35323,                 1.0089,                0.94777,                0.88157,                0.94752,                0.81303,                0.66153,                 0.5029,                 1.0884,              0.0012204,              0.0012204,              0.0012204
                     42,                0.58338,                0.34888,                 1.0037,                0.92907,                0.88889,                 0.9423,                0.80705,                0.65105,                0.51426,                 1.0973,              0.0012004,              0.0012004,              0.0012004
                     43,                0.58012,                0.35044,                 1.0046,                0.93331,                0.90314,                0.95051,                0.82066,                 0.6415,                0.47629,                 1.0971,              0.0011804,              0.0011804,              0.0011804
