                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.34588,                0.20229,                 0.8312,                0.98793,                0.94687,                0.98439,                 0.8507,                0.63052,                0.32768,                 1.0852,             0.00068761,             1.6441e-05,             1.6441e-05
                      2,                0.30341,                0.17241,                0.80279,                0.98813,                0.94466,                0.98597,                0.85307,                0.62701,                0.31733,                 1.0591,             0.00036929,             3.1453e-05,             3.1453e-05
                      3,                0.28862,                0.16539,                0.79571,                0.98999,                0.93023,                0.98426,                0.85353,                0.63323,                0.35035,                 1.0602,             4.9302e-05,             4.4797e-05,             4.4797e-05
                      4,                0.27988,                  0.161,                0.79315,                0.98918,                0.95407,                 0.9874,                0.86118,                0.63964,                0.34079,                  1.071,               4.25e-05,               4.25e-05,               4.25e-05
                      5,                0.27212,                0.15773,                0.79084,                0.98444,                0.94524,                0.98578,                0.85873,                0.63356,                0.36481,                 1.0531,               4.25e-05,               4.25e-05,               4.25e-05
                      6,                0.26988,                0.15573,                0.78919,                0.97888,                0.94922,                0.98788,                0.85025,                0.65772,                0.35661,                 1.0762,                  4e-05,                  4e-05,                  4e-05
                      7,                    inf,                0.15384,                0.78737,                0.98274,                0.94526,                0.98551,                0.85828,                0.63403,                0.36256,                 1.0485,               3.75e-05,               3.75e-05,               3.75e-05
                      8,                0.26186,                0.15115,                0.78722,                0.98549,                 0.9398,                0.98184,                0.86077,                0.61838,                0.37352,                 1.0323,                3.5e-05,                3.5e-05,                3.5e-05
                      9,                0.25793,                0.14925,                 0.7856,                0.98244,                  0.943,                0.98238,                0.85846,                0.63048,                0.37133,                 1.0484,               3.25e-05,               3.25e-05,               3.25e-05
                     10,                0.25599,                0.14753,                0.78483,                0.98524,                0.94245,                0.98154,                0.85723,                 0.6371,                0.37333,                 1.0543,                  3e-05,                  3e-05,                  3e-05
                     11,                0.25311,                0.14541,                0.78437,                0.98783,                0.94291,                0.98292,                0.86312,                 0.6359,                 0.3711,                 1.0635,               2.75e-05,               2.75e-05,               2.75e-05
                     12,                0.25178,                0.14467,                0.78398,                 0.9895,                0.93852,                0.97901,                0.85686,                0.63508,                0.38814,                 1.0566,                2.5e-05,                2.5e-05,                2.5e-05
                     13,                0.25062,                0.14369,                0.78383,                0.98999,                0.94079,                0.98085,                0.85892,                0.63348,                0.37708,                 1.0639,             2.2501e-05,             2.2501e-05,             2.2501e-05
                     14,                 0.2476,                0.14194,                0.78268,                0.98725,                0.94521,                0.98073,                0.85737,                0.62898,                0.35446,                 1.0563,             2.0001e-05,             2.0001e-05,             2.0001e-05
                     15,                0.24723,                 0.1407,                  0.783,                0.98951,                0.94009,                0.98046,                0.85774,                0.62779,                0.36295,                 1.0639,             1.7501e-05,             1.7501e-05,             1.7501e-05
                     16,                0.24533,                0.13991,                0.78222,                0.98955,                0.94341,                0.98069,                0.85995,                0.62513,                0.35708,                 1.0508,             1.5001e-05,             1.5001e-05,             1.5001e-05
                     17,                 0.2445,                0.14002,                 0.7825,                 0.9868,                0.94245,                0.98009,                0.85839,                0.63247,                 0.3613,                 1.0654,             1.2501e-05,             1.2501e-05,             1.2501e-05
                     18,                0.24327,                0.13839,                0.78183,                0.98833,                0.93772,                0.97831,                0.85764,                0.63126,                0.37824,                 1.0612,             1.0001e-05,             1.0001e-05,             1.0001e-05
                     19,                    inf,                0.13819,                0.78165,                0.98664,                0.93993,                0.97956,                0.85845,                0.63097,                0.37295,                  1.059,             7.5009e-06,             7.5009e-06,             7.5009e-06
                     20,                  0.242,                0.13793,                0.78128,                0.98741,                0.93802,                0.97891,                0.85734,                0.63153,                0.37937,                 1.0594,             5.0009e-06,             5.0009e-06,             5.0009e-06
